,Original,Summary
12404,Pengalaman pribadi seller tokopedia seringkali barang perjalanan dikomplain pembeli barang dana diteruskan pembeli pembeli menerima dana barangnya namanya penipuan seringkali pengiriman barang penjual disuruh mengajukan klaim barang hilang proses yg ruwet pdahal barang hilang perjalanan sarankan seller berjualan tokopedia Tim Tokopedia Care melayani keluhan penjual,seringkali pengiriman barang penjual disuruh mengajukan klaim barang hilang proses yg ruwet pdahal barang hilang perjalanan
12405,thanks tokopedia x Gojek,thanks tokopedia x Gojek
12406,Mantap sukses,Mantap sukses
12407,Best Aplikasi,Best Aplikasi
12408,Bikin tokped seller,Bikin tokped seller
12409,Aplikasi berjalan normal sukses tokped,Aplikasi berjalan normal sukses tokped
12410,Keep guys,Keep guys
12411,Aplikasi yg sgt bagus,Aplikasi yg sgt bagus
12412,Okay,Okay
12413,Cepatkan Bayar,Cepatkan Bayar
12414,mantab tokopedia card,mantab tokopedia card
12415,Download karna bujang 7 ku sni,Download karna bujang 7 ku sni
12416,Good ecommerce,Good ecommerce
12417,suka belanja pake toped ternate aja free ongkir lho,suka belanja pake toped ternate aja free ongkir lho
12418,Gudd,Gudd
12419,mudah mengerti,mudah mengerti
12420,Really helping everyday,Really helping everyday
12421,Memenuhi kebutuhan shoping bapak2 user xperience nya jg pas utk bpk2 wehehehe,Memenuhi kebutuhan shoping bapak2 user xperience nya jg pas utk bpk2 wehehehe
12422,Zvehahwjsbzjdievs,Zvehahwjsbzjdievs
12423,pakai toped transaksi,pakai toped transaksi
12424,Masukan fitur wishlist keranjang tambahkan biar Trims,Trims
12425,Bener bener membantu mudah aplikasi nya,Bener bener membantu mudah aplikasi nya
12426,Ga sembarangan kaya shopee aman terpercaya,Ga sembarangan kaya shopee aman terpercaya
12427,Free ongkir,Free ongkir
12428,suka belanja via app tokped promo jg kalo via app kalo upload produk suka crash gagal seacrhing hang tiba2,kalo upload produk suka crash gagal seacrhing hang tiba2
12429,Pokoknya djamin,Pokoknya djamin
12430,nuhun tokped,nuhun tokped
12431,Semoga Tokopedia maju cita2,Semoga Tokopedia maju cita2
12432,Semenjak pake toped gak tertarik belanja samping aman promonya lbh menggiurkan,Semenjak pake toped gak tertarik belanja samping aman promonya lbh menggiurkan
12433,Update,Update
12434,memuaskan,memuaskan
12435,Udah gak make sense tarif potonganya kena biaya 2 kali potong paket kena 15 ribu untung seribu ribu kena potong 15 ribu bukanya untung buntung kacau,Udah gak make sense tarif potonganya kena biaya 2 kali potong paket kena 15 ribu untung seribu ribu kena potong 15 ribu bukanya untung buntung kacau
12436,User friendly fast 99 reliable,User friendly fast 99 reliable
12437,Lmao,Lmao
12438,mudah simpel,mudah simpel
12439,Nothing complain,Nothing complain
12440,loyal tokopedia customer mostly shopping via tokopedia,loyal tokopedia customer mostly shopping via tokopedia
12441,Aplikasi mantap sedunia,Aplikasi mantap sedunia
12442,cari ya Tokopedia,cari ya Tokopedia
12443,Tokopedia promo cashbacknya beneran tiputipu tim support tokopedia responsif membantu proses belanja claim produk yg bermasalah tokopedia satu2nya aplikasi ecommerce yg terinstall handphoneku,Tokopedia promo cashbacknya beneran tiputipu tim support tokopedia responsif membantu proses belanja claim produk yg bermasalah tokopedia satu2nya aplikasi ecommerce yg terinstall handphoneku
12444,Lbh muda praktis dlm berbelanja,Lbh muda praktis dlm berbelanja
12445,puas cepat n gampang,puas cepat n gampang
12446,Tokopedia membantu rumah tangga kantor kesibukan yg padat tokopedia membantu memenuhi kebetuhan anak yg dapatkan cepat harga murah rumah kantor,Tokopedia membantu rumah tangga kantor kesibukan yg padat tokopedia membantu memenuhi kebetuhan anak yg dapatkan cepat harga murah rumah kantor
12447,Setia tokped,Setia tokped
12448,Slalu ok,Slalu ok
12449,love Tokopedia lot UI neat effective Tokopedia provide english version app,Tokopedia provide english version app
12450,gampang cari barang mudah bandingin harga promo mudah pembayaran pake VA dapet saldo toko cash,gampang cari barang mudah bandingin harga promo mudah pembayaran pake VA dapet saldo toko cash
12451,Puas bgt pake mempermudah dlm pengambilan brg utk kerjaan klo limit ditingkatkan tks,Puas bgt pake mempermudah dlm pengambilan brg utk kerjaan klo limit ditingkatkan tks
12452,mantappppp,mantappppp
12453,User friendly pilihan utk bayar,User friendly pilihan utk bayar
12454,best Ijo2,Ijo2
12455,Top tokopedia,Top tokopedia
12456,Tokopedia oke,Tokopedia oke
12457,Tokopedia keren hehehe,Tokopedia keren hehehe
12458,Easy use recommended online shop app,Easy use recommended online shop app
12459,suka step nya ribet perselisihan fair drpd orange sebelah,suka step nya ribet perselisihan fair drpd orange sebelah
12460,Easy use lot choices better warranty buyer,nan
12461,Barang hilang tokped jalan,Barang hilang tokped jalan
12462,Layanan Tokopedia emang top dah Gak diragukan,Gak diragukan
12463,live without Tok,nan
12464,Mantepdan membantu,Mantepdan membantu
12465,Promonya tambahin laahh cuman free ongkir doang ga promo yg dipake barengan,Promonya tambahin laahh cuman free ongkir doang ga promo yg dipake barengan
12466,Ahay,Ahay
12467,Puas promo tersedia,Puas promo tersedia
12468,pesan barang memanfaatkan promo bebas ongkir minggu barang gak nyampe mikir make toko utk next order,pesan barang memanfaatkan promo bebas ongkir minggu barang gak nyampe mikir make toko utk next order
12469,Cepat aman Thanks,Thanks
12470,saran kl reture barang percepat aja minkrna kl barng yg diretur buyyer bs disalh max 1 2 aja dr barang terima makasi,saran kl reture barang percepat aja minkrna kl barng yg diretur buyyer bs disalh max 1 2 aja dr barang terima makasi
12471,MantAp,MantAp
12472,Puas banget deh pokoknya,Puas banget deh pokoknya
12473,suka pakai toped,suka pakai toped
12474,Easy payment process many choices,Easy payment process many choices
12475,Aplikasi ecommerce mudah akurat fungsi2nyaterutama berkaitan pembayaran,Aplikasi ecommerce mudah akurat fungsi2nyaterutama berkaitan pembayaran
12476,Aplikasi nya gampang promonya undiannya,Aplikasi nya gampang promonya undiannya
12477,Fitur bebas ongkir yg tokopedia kerjasama sicepat lambat kurir pick barang 23 yg jengkelkan kurir sicepat lokasi pick aplikasi update seller siapkan barangnya otomatis buyer seller yg cakap request pick barang diambil penipuan namanya sy komplain admin tokopedia jawabannya dibantu follow 1x24 jam barang pick dikomplain jawabannya akhirny drop paket sicepat yg biaya bensin dll gunanya fitur pick gunanya fitur scheduled pick Pick yg terjadwal,sy komplain admin tokopedia jawabannya dibantu follow 1x24 jam barang pick dikomplain jawabannya akhirny drop paket sicepat yg biaya bensin dll gunanya fitur pick
12478,Gw x kecewa sm tokopedia pengembalian dana aja bangd mempersulit penjual tokopedia Kecewa yg mw cepat terhambat,Kecewa yg mw cepat terhambat
12479,sukses tokopedia,sukses tokopedia
12480,Belanja aktivitas pandemi Covid19 aman sehat Bikin hidup mudah click pay receive beres,Belanja aktivitas pandemi Covid19 aman sehat Bikin hidup mudah click pay receive beres
12481,Aaaaaaa,Aaaaaaa
12482,Pemakaian simple tampilan bagus tersedia fitur seller,Pemakaian simple tampilan bagus tersedia fitur seller
12483,hidup mudah,hidup mudah
12484,Mantapppppp,Mantapppppp
12485,Simple easy use,Simple easy use
12486,Top transaksi komplain mudah kupon diskon utk akses menu menunya utk mempelajari,utk akses menu menunya utk mempelajari
12487,Patenn,Patenn
12488,Always best,Always best
12489,best app order goods,best app order goods
12490,Mohon tutup toko2 yg sdh tdk aktif buang2 konsumen aja udah pesen barang nunggu berhari cancel,Mohon tutup toko2 yg sdh tdk aktif buang2 konsumen aja udah pesen barang nunggu berhari cancel
12491,Lbh okke banding toko sebelah,Lbh okke banding toko sebelah
12492,using app years never fail great market place shop,using app years never fail great market place shop
12493,TerimAkasih Tokopedia fasilitator pedagan membantu,TerimAkasih Tokopedia fasilitator pedagan membantu
12494,Friendly user,Friendly user
12495,kemudahan bayar tokopedia Thx tokopedia,kemudahan bayar tokopedia Thx tokopedia
12496,Tokopedia best,Tokopedia best
12497,wkt Permatasari,wkt Permatasari
12498,Sippp mantappp,Sippp mantappp
12499,membeli laptop macbook air m2 toko Studio Ponsel seharga 28 juta pengiriman gojek macbook nya hilang jalan pengiriman barang menerima laptopnya mengajukan komplain Pusat Resolusi Tokopedia solusi penggantian dana seharga laptop beli batas penerimaan lambat 2 Februari 2023 tanggal 8 Februari 2023 menerima uang refund menghubungi Tokopedia Care terkait proses refund letak permasalahan detik menerima refund Tokopedia tolong kembalikan uang secepatnya,macbook nya hilang jalan pengiriman barang menerima laptopnya
12500,Exelent,Exelent
12501,far always good,far always good
12502,Memudahkan fitur lengkap,Memudahkan fitur lengkap
12503,nice niceeeee,nice niceeeee
12504,Best Tokopedia,Best Tokopedia
12505,Tokopedia aman terpercaya,Tokopedia aman terpercaya
12506,Terima kasih promonya,Terima kasih promonya
12507,Pelayanan Tokopedia TOP,Pelayanan Tokopedia TOP
12508,Cheap fast delivery,Cheap fast delivery
12509,Belanja mahal Cashback udah ilang Mending pindah sebelah,Mending pindah sebelah
12510,Happyyyyy use app,Happyyyyy use app
12511,5 pakai tokopedia dipercaya super app aplikasi,5 pakai tokopedia dipercaya super app aplikasi
12512,masuk web tokped scan QR,masuk web tokped scan QR
12513,giving good mean returning defect product,giving good mean returning defect product
12514,Okaaay toped,Okaaay toped
12515,promonya tinggal dikembangkan aja,promonya tinggal dikembangkan aja
12516,Really easy use helpful online shopping,Really easy use helpful online shopping
12517,Mantap euy,Mantap euy
12518,tipu toko nama tokonya IRSNEAKERS ngakunya jual barang ori barang KW parah Otomatis refund proses refund tokopedia melindungi pembeli beda si orange protektif menjamin kenyamanan keamanan pembeli Uang ditahan tokopedia jangka pengembalian dana gopay terlewatkan penjual aplikasi menipu gimana Pas retur ongkir nanggung pembeli kehilangan uang kehilangan barang fungsinya fitur Tokopedia Care Jawabannya slow respon isinya disuruh nunggu Nunggu sampe Batas udah ditentuin Tokopedia kelewatan Gabakalan gunain aplikasi,Otomatis refund proses refund tokopedia melindungi pembeli beda si orange protektif menjamin kenyamanan keamanan pembeli
12519,cash back nya promo menarik,cash back nya promo menarik
12520,trims tokped pelayanan oke bgt,trims tokped pelayanan oke bgt
12521,Tarik saldo cepet bgt Welldone,Welldone
12522,Cashback nya berkurang ya,Cashback nya berkurang ya
12523,Kadang bagus kadang nggk,Kadang bagus kadang nggk
12524,Functionality best,Functionality best
12525,Best application,Best application
12526,Gpl simpel terpercaya,Gpl simpel terpercaya
12527,senang pelayanan paylater terimakasih ya tokopedia,senang pelayanan paylater terimakasih ya tokopedia
12528,tokopedia keren gampang transaksinya,tokopedia keren gampang transaksinya
12529,refund dgn mudah,refund dgn mudah
12530,alhamdulillah,alhamdulillah
12531,Mantap pertahankan,Mantap pertahankan
12532,Memuaskan berbelanja,Memuaskan berbelanja
12533,Ok n fast,Ok n fast
12534,yea,yea
12535,Good one stop shopping solution,Good one stop shopping solution
12536,ajah,ajah
12537,Belanja Tokopedia mudah aplikasi keren pilihan pembayaran mudah cepat,Belanja Tokopedia mudah aplikasi keren pilihan pembayaran mudah cepat
12538,semangat jadikan tokopedia terbaik terbaik,semangat jadikan tokopedia terbaik terbaik
12539,Beralih toko oren mending banget gak biaya2 penanganan,Beralih toko oren mending banget gak biaya2 penanganan
12540,Userfriendly,Userfriendly
12541,performance apps nya,performance apps nya
12542,Banyakin promo nya,Banyakin promo nya
12543,Bagus gampang pemakaiannya Sofar membantu,Bagus gampang pemakaiannya Sofar membantu
12544,Nggatau pokoknya nyaman aja belanja,Nggatau pokoknya nyaman aja belanja
12545,Belanja cepat murah,Belanja cepat murah
12546,banget belanja tokopedia,banget belanja tokopedia
12547,Proses lancar,Proses lancar
12548,Pertahankan utk lg,Pertahankan utk lg
12549,Tokopedia kemudahan,Tokopedia kemudahan
12550,Beli jual dr barang barang rumah tangga,Beli jual dr barang barang rumah tangga
12551,Aplikasi membantu,nan
12552,puas dg pelayanan sistemnya,puas dg pelayanan sistemnya
12553,Virtual etalase favorit mengecewakan ya Love peace gaul,Virtual etalase favorit mengecewakan ya Love peace gaul
12554,Loveee bgtttt,Loveee bgtttt
12555,ok tokped,ok tokped
12556,Toko Pedia platform yg bagus terpercaya dirugikan penjual2 yg pelayanannya lambat stocknya kosong stock dibayar stocknya kosong dananya dikembalikan buang2 pembeli Terimakasih,dananya dikembalikan buang2 pembeli
12557,Tokopedia membantu memudahkan yg suka belanja sistim online real menarik dg cashbak promo promo yg tokopedia semoga tetep jaya terdepan puluhan konsisten tetep cinta dg tokopedia,Tokopedia membantu memudahkan yg suka belanja sistim online real menarik dg cashbak promo promo yg tokopedia semoga tetep jaya terdepan puluhan konsisten tetep cinta dg tokopedia
12558,membantu diskon hitungan ribuan rupiah,membantu diskon hitungan ribuan rupiah
12559,Rekomendasi,Rekomendasi
12560,enak iki dibanding shopee,enak iki dibanding shopee
12561,application helpful love toko pedia,application helpful love toko pedia
12562,Smua oke kadang sistem yg kaku mempersulit seller jualan barang retur barang validasi kelacak klo ga paket hilang tdk tau keberadaan gudang elspedisi nya,barang retur barang validasi
12563,Tingkatkan promonya,Tingkatkan promonya
12564,always use tokopedia buying things online really good design easy use features sometimes app responsive enough Still really good app Besides difficult join tokopedia nakama since got rejected twice,really good design easy use features
12565,nan,nan
12566,,
12567,Belom solusi terkait kesalahan penjual Penjual salah kirim barang rusak tanggung biaya ongkir trus asuransi bayarkan biaya transaksi lumayan pake kartu kredit kehilangan kesalahan orang,kehilangan kesalahan orang
12568,Mudah cepat belanja fitur mencari toko terdekat lokasi,Mudah cepat belanja fitur mencari toko terdekat lokasi
12569,jualan 520 diterima 490,jualan 520 diterima 490
12570,Ecommerce favorit aing,Ecommerce favorit aing
12571,bad,bad
12572,Suka tokped,Suka tokped
12573,Mantavvvv,Mantavvvv
12574,udah gak blackpink gue tetep setia dah,udah gak blackpink gue tetep setia dah
12575,Keren sekeren2 nya,Keren sekeren2 nya
12576,Ok membantu sering2 ya kasih promo,Ok membantu sering2 ya kasih promo
12577,Krn familiarsimple,Krn familiarsimple
12578,good apps,good apps
12579,Mempermudah pembayaran tokopedia,Mempermudah pembayaran tokopedia
12580,Applikasinya anjing banget top,Applikasinya anjing banget top
12581,Dear Tokopedia best marketplace country would reason use Tokopedia preffered marketplace,Dear Tokopedia best marketplace country would reason use Tokopedia preffered marketplace
